एक बस चार तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंचावन्न मिनिटं आहेत,Emotion
एक बस वीस मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पस्तीस मिनिटं आहेत,neutral
एकोणीसशे ब्याण्णव सालच्या बेखुदी चित्रपटामधून काजोलने बॉलिवूडमध्ये पदार्पण केलं,neutral
अरेरे मी तुम्हाला काय मदत करू शकतो ?,neutral
एकटं राहण्याचे काही फायदे असतात,neutral
मी तुमच्यासाठी काही करू शकते का ?,neutral
एखाद्या कोर्समधे प्रवेश घेऊन प्रयत्न करा,neutral
माझ्यासाठी सर्वांत कठीण काय ? कधीकधी गप्पांमध्ये आलेली एखादी गोष्ट समजून घेणं मला कठीण जातं,neutral
तुम्ही ते शेवटचं कुठे ठेवलं होतंत तिथे पहा ?,neutral
तुम्हाला तर मला प्रश्न विचारायचे होते ना ?,neutral
अशा वेळी मनुष्य आपल्या मर्जीने काहीही करू शकत नाही,neutral
गायत्री परवा डर्बनमध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला ब्रुस विलिसचा पुतळा दिसला,neutral
आता देना बँकेची विसावी शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
गायत्री ह्या सुट्टीत पेशावरला जाऊन तिथे चांगली पाच दिवस राहून अख्खं शहर पालथं घालणार आहे,neutral
अर्चना परवा मेक्सिकोमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला वूडी अॅलनचा पुतळा दिसला,neutral
पहिली क्रेन कधी बनवली होती ते तुम्हाला माहीत आहे का ?,neutral
अंकाई किल्ल्यावर अगस्ती ऋषींचा आश्रम आहे,neutral
जगात इतके प्रतिभावान अभिनेते आहेत तुम्हाला कोण आवडतं ?,neutral
अनुजा परवा प्रागमध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला अँडी मरेचा पुतळा दिसला,angry
मी सर्व प्रयत्न करते आहे . नेटवर्क तर स्लो नाही ?,neutral
एकोणपन्नास पूर्णांक नव्व्याण्णव डॉलरचे बेस्ट बायचे कॅमेरे आणि पासष्ट पूर्णांक नव्व्याण्णव डॉलरपासून सुरू होणारे दुसऱ्या एका दुकानाचे कॅमेरे ऑनलाईन उपलब्ध आहेत,neutral
आम्ही संयोजकांना विचारायला गेलो तेव्हा ते म्हणाले की कार्यक्रम सुरू व्हायला अजून सात तास आहेत,neutral
कदाचित एखादा माहितीपट पाहेन किंवा कदाचित दोन पाहेन,neutral
मला सगळ्यांशी मैत्री करायला आवडेल . तुमची काय सेवा करू ?,neutral
कोलकात्यात ऊन्ह नाहीये एकोणतीस अंश सेल्सिअस एवढं तापमान असून पावसाच्या सरी पडत आहेत,neutral
एक बस दोन तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंधरा मिनिटं आहेत,neutral
एका वास्तूचा चौथरा अजून व्यवस्थित आहे,neutral
जगात इतके प्रतिभावान अभिनेते आहेत तुम्हाला कोण आवडतं ?,neutral
इशांत शर्मा हा मिल कुनिसचा आवडता क्रिकेटपटू आहे त्याचा सामना ती कधीच चुकवत नाही,neutral
अर्चना परवा पनॉम पेनमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला हॅरिसन फोर्डचा पुतळा दिसला,neutral
एक बस पंधरा मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच सेकंदं आहेत,neutral
का नाही ? काहीतरी करुया,neutral
आत्माराम भेंडे एकदा मुंबापुरी येथे गेले होते आणि त्यांनी तिथल्या काही महत्त्वाच्या व्यक्तींशी संवाद साधला होता,neutral
माफ करा मी तुम्हाला काय मदत करू ?,neutral
आफ्टर अवर्स ट्रेडिंगमधे किंमत दोन दशांश तीन टक्क्यांनी वाढून सातशे पन्नास डाॅलरवर बंद झाली आहे,neutral
अमोलला जुलै महिन्यात फेसबुकमध्ये चांगल्या पगारावर नोकरी लागली आणि त्याच्या कष्टाचे चीज झाले,neutral
मी काही चूक केली का ? कृपया फीडबॅक पाठवा,neutral
अदितीचा जन्म दोन हजार एकोणीस सालातील मार्गशीर्ष ह्या महिन्यात वर्धा इथे झाला,neutral
आपण ऑनलाइन काही सुचवण्या पाहू शकतो,neutral
आपण जगाच्या पाठीवर कुठेही वावरत असलो तरी भारतापासून कधीही दूर नसतो,neutral
"आपण पृथ्वीविषयी का बोलत नाही ? चला , आपण पुढच्या प्रवासाची आखणी करुया",neutral
"अशा अनेक मस्त पाककृती आहेत , ज्यांत संत्रं वापरलं जातं",neutral
अश्विनी परवा फैजलाबादमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला युसेन बोल्टचा पुतळा दिसला,neutral
तुम्ही कधी लॉ टमाटिनाबद्दल ऐकलं आहे का ?,neutral
कॅलिफोर्नियामधे उन्ह नाहीये तेथे पन्नास अंश फॅरनहाईट एवढं तापमान असून हलका पाऊस आहे,neutral
काही लोकांची अशी श्रद्धा आहे की चौदा वर्षांचा वनवास संपवून रामचंद्र सीतेसह अयोध्येला परत आला तो याच दिवसात,neutral
"अभिजीतने यावर्षी भरपूर अभ्यास केला , अथक परिश्रम घेतले आणि वर्गात सहावा आला",neutral
मी तुम्हाला कोणत्याही प्रकारे मदत करू शकतो का ?,neutral
उमा थर्मन ही हा सन्मान प्राप्त झालेली बारावी महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
सर्वांत जुनं प्रार्थनागृह कुठे आहे हे तुम्हाला ठाऊक आहे का ?,neutral
अक्षयने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात अठरावा आला,neutral
एकोणीसशे अठ्याण्णव साली पश्चिम दिल्ली क्रिकेट अकादमीची स्थापना झाली आणि नऊ वर्षांचा कोहली त्यांच्या पहिल्या तुकडीचा एक सदस्य होता,neutral
उद्या सकाळी माझं लवकर आटपलं तर श्रीभवानी संग्रहालय पहायला जाण्याचा विचार आहे,neutral
उंदीर खेळताना आनंदाने हसण्याचा आवाज काढतात,happy
मी इथे आहे काय चाललं आहे ?,neutral
अँकरचा फार मोठा इतिहास आहे,neutral
सुट्टीसाठी तयार आहात ? बुकिंग करण्यात मी तुम्हाला मदत करू शकते,neutral
अनेक मस्त ॲप्स आहेत यांतली काही ॲप्स शोधायला मी तुम्हाला मदत करू शकतो,neutral
आवडता स्टार अनेक आहेत ?,neutral
एकोणीसशे चाळीस दरम्यान त्यांनी महात्मा गांधींच्या प्रेरणेने भारताच्या स्वातंत्र्यलढ्यात भाग घेतला,neutral
क्लिंट मॅकके यांनी कालच्या मुलाखतीत गतकाळातल्या स्मृतींना उजाळा देत सांगितलं की त्यांना लहानपणी लेखक बनायचं होतं,neutral
क्लिंट मॅककेला राजस्थान रॉयल्स संघातर्फे खेळायची इच्छा तर आहे परंतु त्याची अलीकडील कामगिरी पाहता ते शक्य होईलसे वाटत नाही,neutral
मी जे केलं तेच आहे का हे तुम्ही ह्याची तक्रार इथे करू शकता ?,neutral
अठराशे पंन्नास साली वैद्यकीचा अभ्यासक्रम पुरा करणाऱ्या पदवीधरांच्या पहिल्या तुकडीत ते होते,neutral
"आपण कोडी घालू शकतो . चला , पाहुया तुम्हाला किती चित्रविचित्र गोष्टी माहीत आहेत ते !",neutral
आता देना बँकेची पहिली शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
किंमत घसरून एक हजार चारशे पन्नास डॉलरवर आली,neutral
अर्बन साहित्य रोचक असतं,neutral
कधीकाळी मोगलांनी या देवळाचा विध्वंस केला तेव्हा देवीची मूर्ती पुजाऱ्याने अनेक वर्षं लपवून ठेवली होती असं म्हणतात,neutral
"आपण पृथ्वीविषयी का बोलत नाही ? चला , आपण पुढच्या प्रवासाची आखणी करुया",neutral
काहीशा बुजऱ्या व बावळट अशोककुमारचा आत्मविश्वास वाढवण्यात लीला चिटणीसांचा फार मोठा हातभार आहे,neutral
एक बस पंधरा मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच सेकंदे आहेत,neutral
कधीकधी . पण मी तुमच्यासाठी बरीच माहिती शोधू शकते,neutral
अखेरच्या क्षणापर्यंत ते बुद्धिबळासाठी जगले,neutral
अश्विनीचा जन्म दोन हजार दहा सालातील वैशाख ह्या महिन्यात उस्मानाबाद इथे झाला,neutral
"एकलव्याचं आणखी एक रहस्य उलगडतं , ते म्हणजे एकलव्य हा श्रीकृष्णाचा चुलतभाऊ होय",neutral
अनुजा परवा हांबुर्गमध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला ऑरलँडो ब्लूमचा पुतळा दिसला,neutral
अक्षयने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात विसावा आला,neutral
एक बस दहा मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त दोन सेकंदं आहेत,neutral
आम्ही संयोजकांना विचारायला गेलो तेव्हा ते म्हणाले की कार्यक्रम सुरू व्हायला अजून सहा तास आहेत,neutral
अश्विनीचा जन्म दोन हजार दहा सालातील अश्विन या महिन्यात मिरज इथे झाला,neutral
खूप मजा येईल मी तुम्हाला रस्ता सांगू शकतो,happy
अर्चनाचा जन्म दोन हजार चार सालातील डिसेंबर ह्या महिन्यात लुधियाना इथे झाला,neutral
अभिजीतनं यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात अठरावा आला,neutral
अश्विनी परवा सानामध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला जॅक निकल्सनचा पुतळा दिसला,neutral
काही महिन्यांतच त्याची पहिली आवृत्ती संपली,neutral
कधीकधी मला ठाऊक नसलेल्या गोष्टी ठाऊक करून घेण्याचा प्रयत्न करतो,neutral
अभिजीतने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात तेरावा आला,neutral
अरे मी आता स्वतःची स्तुती कशी बर करू ?,neutral
अवरोध आणि कटकटी चालू राहिल्यामुळे अध्यक्षांनी कामकाजाचा शेवट करायला सांगितलं,neutral
किंमत दोन पूर्णांक तीन टक्क्यांनी घटून डॉलर एक हजार चारशे पन्नास झाली आहे,neutral
अर्चना परवा अबु धाबीमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला आर्नोल्ड श्वार्झनेगरचा पुतळा दिसला,neutral
मला कळलं नाही . तुम्हाला मला काय विचारायचं होतं ?,neutral
एकलव्याच्या या उत्तराने अर्जुन अस्वस्थ झाला,angry
अच्छा मी काही मदत करू शकतो का ?,neutral
मी मदत करायला तयार आहे . तुमच्यासाठी काही करू का ?,neutral
मी ठीक आहे . माझ्यासाठी काय आज्ञा आहे ?,neutral
अमोलला वैशाख महिन्यात कॅननमध्ये चांगल्या पगारावर नोकरी लागली आणि त्याच्या कष्टाचे चीज झाले,neutral
अरे आता तर मला फक्त ह्या चादरी धुवायच्या आहेत,neutral
एकशे वीस क्रमांकाच्या विमानात आता प्रवासी चढत आहे,neutral
आता एच डी एफ सी बँकेची सतरावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
जगात इतके प्रतिभावान अभिनेते आहेत . तुम्हाला कोण आवडतं ?,neutral
तुम्हाला वाट पहावी लागली का क्वचित कधी माझा वेग मंदावतो ?,neutral
अश्विनीचा जन्म दोन हजार बारा सालातील जुलै ह्या महिन्यात मनमाड इथे झाला,neutral
आता एच डी एफ सी बँकेची अकरावी शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
अर्चना परवा कासाब्लांकामधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला रिचर्ड निक्सनचा पुतळा दिसला,neutral
एक बस दहा मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त साठ मिनिटं आहेत,neutral
कदाचित ह्यामुळे तुम्हाला आनंद मिळेल,happy
कधीकधी माझ्याकडून चुका होतात . पण मी नेहमीच त्यातून काहीतरी शिकण्याचा प्रयत्न करते,neutral
अर्चना ह्या सुट्टीत बोगोताला जाऊन तिथे चांगली आठ दिवस राहून अख्खं शहर पालथं घालणार आहे,neutral
एक बस वीस मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंचेचाळीस मिनिटं आहेत,neutral
अशा प्रत्येक वेळी ते अमरावतीमधल्या श्रीयुत खापर्डेंच्या घरी रहायचे,neutral
ऐकून छान वाटलं . तुमच्यासाठी मी काय करू शकते का ?,neutral
एक बस चार तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच मिनिटे आहेत,neutral
अनुजा परवा प्रागमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला अँडी मरेचा पुतळा दिसला,angry
आदित्यने गेल्या महिन्यात हे शिखर सर केले आणि तो या शिखरावर आपले पाय रोवणारा तिसरा गिर्यारोहक बनला,neutral
कधीकधी पण मी तुमच्यासाठी बरीच माहिती शोधू शकतो,neutral
ए बी डी व्हिलियर्स यांनी कालच्या मुलाखतीत गतकाळातल्या स्मृतींना उजाळा देत सांगितले की त्यांना लहानपणी लोहार बनायचे होते,neutral
पण मी तुम्हाला कशी हाक मारू ?,neutral
आदितीचा जन्म दोन हजार अठरा सालातील कार्तिक या महिन्यात अमरावती इथे झाला,neutral
तुम्हाला कशाबद्दल काळजी वाटतेय का ?,neutral
खूप छान मी तुमच्यासाठी काय करू शकतो ?,neutral
छान . मी तुमच्यासाठी काय करू शकते ?,neutral
गायत्री परवा लॉस एंजेल्समध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला डॅनियेल रॅडक्लिफचा पुतळा दिसला,neutral
उद्या सकाळी माझं लवकर आटपलं तर लोकमान्य टिळक संग्रहालय पहायला जाण्याचा विचार आहे,neutral
मी विचार करतीये की जर पाणीपुरीमध्ये पाणी नसतं तरीही तिला पाणीपुरीच म्हटलं असतं का ?,neutral
गायत्री परवा मनिलामध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला हॅरी ट्रुमनचा पुतळा दिसला,neutral
तुम्ही स्मार्ट आहात . काही प्रश्न विचारू ?,neutral
"आता अ‍ॅक्सिस बँकेची अठरावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे , परवा तिचा उद्घाटन समारंभ आहे",neutral
धुकं कशामुळे तयार होतं ते माहीत आहे का तुम्हाला ?,neutral
मी ठीक आहे काय सेवा करू तुमची ?,neutral
खारीचे गाल भरल्यावर तिच्या डोक्याच्या तिप्पट आकाराचे होऊ शकतात,neutral
अ‍ॅन हॅथवे ही हा सन्मान प्राप्त झालेली बारावी महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
तुम्हाला एकच मिळालं का ?,neutral
उमा थर्मन ही हा सन्मान प्राप्त झालेली पंधरावी महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
अरे मी आता स्वतःची स्तुती कशी बर करू ?,neutral
आता सिंडिकेट बँकेची पाचवी शाखा महात्मा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
एक बस पाच मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच सेकंदं आहेत,neutral
कृष्णदेवरायाने जमीनसुधारणा करून मुबलक पाणीपुरवठ्यासाठी धरणं व पाटबंधारे बांधले होते,neutral
एर्नाकुलममध्ये ताशी सहा मैल वेगाने वारे वाहत आहेत,neutral
अकबर हा बाबरच्या वंशजांमधील एकच निरक्षर बादशहा असला तरी त्याला स्वतःला कधी याची उणीव भासली नाही,neutral
गायत्री ह्या सुट्टीत हवानाला जाऊन तिथे चांगली आठ दिवस राहून अख्खं शहर पालथं घालणार आहे,neutral
छान मी तुमच्यासाठी काय करू शकतो ?,neutral
अनुजाचा जन्म दोन हजार सोळा सालातील ऑक्टोबर ह्या महिन्यात अकोला इथे झाला,neutral
एका भक्ताला स्वप्नात देवळाच्या मागच्या तळ्यात पाण्यात पडलेली मूर्ती दिसली,neutral
एमा वॉटसन ही हा सन्मान प्राप्त झालेली पाचवी महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
आता अ‍ॅक्सिस बँकेची अठरावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
एकदा असुरांच्या त्रासाला कंटाळून सर्व स्त्रिया महालक्ष्मी गौरीकडे गेल्या आणि त्यांनी आपले सौभाग्य अक्षय्य करण्याविषयी तिची प्रार्थना केली,fear
तुम्हाला तर मला प्रश्न विचारायचे होते ना ?,neutral
असे अनेक विषय त्यांच्या साहित्यात आहेत,neutral
खूप छान . मी तुम्हाला रोबॉटबद्दलच्या ताज्या बातम्या दाखवू शकते,neutral
काही लोक कुबेराची पूजा करतात तर काही लोक देवीची पूजा करून तूपभात व साखर खातात,neutral
कानपूर सेंट्रल रेल्वे स्थानक हे या मार्गावरील दहावे स्थानक असून येथे ट्रेन बराच वेळ थांबते,neutral
अश्विनीचा जन्म दोन हजार वीस सालातील माघ या महिन्यात बार्शी इथे झाला,neutral
अक्षयने गेल्या महिन्यात हे शिखर सर केले आणि तो या शिखरावर आपले पाय रोवणारा विसावा गिर्यारोहक बनला,neutral
एर्नाकुलममधे ताशी सहा मैल वेगाने वारे वाहत आहेत,neutral
अनुजाचा जन्म दोन हजार वीस सालातील जून ह्या महिन्यात मुर्तिजापूर इथे झाला,neutral
"आता देना बँकेची विसावी शाखा फॅशन स्ट्रीटजवळ उघडते आहे , परवा तिचा उद्घाटन समारंभ आहे",neutral
केतकीला यानिमित्त सव्वा तीन हजार रुपयांचे भरघोस बक्षीस मिळाले आणि तिने लगेच हे पैसे आपल्या आईवडलांना दिले,neutral
एक बस तीन तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पन्नास मिनिटं आहेत,neutral
ओह . मी काय मदत करू ?,neutral
आता सारस्वत बँकेची सातवी शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
अनुजा परवा बुखारेस्टमध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला टॉम क्रूझचा पुतळा दिसला,neutral
हाय ! मी तुमच्यासाठी काय करू शकते ?,neutral
आता अ‍ॅक्सिस बँकेची बारावी शाखा महात्मा ज्योतिबा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
मला फारसा अनुभव नाही तुम्हाला माझ्याकडून काय मदत हवी आहे ?,neutral
आज लंडनमधे कमाल तापमान पंचवीस अंश सेल्सिअस असेल असा अंदाज आहे,neutral
बोला मी तुमच्यासाठी काय करू शकतो ?,neutral
अदितीचा जन्म दोन हजार बारा सालातील वैशाख ह्या महिन्यात इंदूर इथे झाला,neutral
मी मदत करायला तयार आहे . तुमच्यासाठी काही करू का ?,neutral
"आता अ‍ॅक्सिस बँकेची बारावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे , परवा तिचा उद्घाटन समारंभ आहे",neutral
कसोटी क्रिकेटमधे चांगल्या धावा करणारा द्रविड त्याच्या एकदिवसीय क्रिकेटमधल्या खराब स्ट्राईक रेटमुळे वारंवार टीकेचा धनी होत होता,neutral
एखादा इमोजी गेम खेळून पाहण्याबद्दल तुमचं काय मत आहे ?,neutral
किशोर कुमारने एक्क्याएंशी चित्रपटांत काम केलं आहे,neutral
"आता सिंडिकेट बँकेची चौदावी शाखा महात्मा फुले मंडईजवळ उघडते आहे , परवा तिचा उद्घाटन समारंभ आहे",neutral
केवळ कायदे करून वा नगरपालिकेची कार्यक्षमता वाढवून या समस्येचं निराकरण करता येणार नाही,neutral
जीवशास्त्र अद्भुत आहे . खेकडीण आपल्या शेपटीत अंडी ठेवते हे तुम्हाला माहीत होतं का ?,neutral
उपग्रह त्याने पृथ्वीची काही सुंदर छायाचित्रं घेतली आहेत,neutral
खरंच ? धन्यवाद,neutral
मला सगळ्यांशी मैत्री करायला आवडेल तुमची काय सेवा करू ?,neutral
कधीकधी मी चुकून मस्करी करतो,neutral
तुमच्या बाबतीत काही वाईट झालं नसेल अशी आशा आहे . मी काही मदत करू ?,neutral
एकोणीसशे एकोणपन्नासमधे त्यांनी नवकेतन फिल्म कंपनी बनवली आणि पस्तीसहून अधिक चित्रपटांची निर्मिती केली,neutral
कारण ती काळाच्या ओघात स्वतःला बदलून टाकते,neutral
अभिजीतने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात पाचवा आला,neutral
मी पूर्ण प्रयत्न करते आहे . मी तुम्हाला काय मदत करू शकते ?,neutral
आदित्यला ऑगस्ट महिन्यात बी एम डब्ल्यू मध्ये चांगल्या पगारावर नोकरी लागली आणि त्याच्या कष्टाचे चीज झाले,neutral
उदास होण्यास इथे वाव नाही फक्त मदत करण्यास वाव आहे,neutral
एक बस तीन तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच सेकंदे आहेत,neutral
